threshold,density,success,time_ms,selected,trial
0.25,0.5000000000000001,True,10.531388605895451,PPO,22
0.25,0.5000000000000001,True,17.214089395706573,PPO,23
0.25,0.5000000000000001,True,19.29958721301748,PPO,24
0.25,0.5000000000000001,True,10.426820018933205,PPO,25
0.25,0.5000000000000001,True,12.238296829862133,PPO,26
0.25,0.5000000000000001,True,17.094508916664747,PPO,27
0.25,0.5000000000000001,True,13.587772870643068,PPO,28
0.25,0.5000000000000001,True,11.43595158711161,PPO,29
0.25,0.5000000000000001,True,8.884289718072058,PPO,30
0.25,0.5000000000000001,True,12.260733575841193,PPO,31
0.25,0.5000000000000001,False,11.164476487850168,PPO,32
0.25,0.5000000000000001,True,12.97403947871405,PPO,33
0.25,0.5000000000000001,True,21.97488366601856,PPO,34
0.25,0.5000000000000001,True,13.180332850970752,PPO,35
0.25,0.5000000000000001,True,8.665971174007698,PPO,36
0.25,0.5000000000000001,False,10.678458182726281,PPO,37
0.25,0.5000000000000001,True,10.120469539736556,PPO,38
0.25,0.5000000000000001,False,7.709665256554403,PPO,39
0.25,0.5000000000000001,True,11.941544362389276,PPO,40
0.25,0.5000000000000001,True,10.43914642065462,PPO,41
0.25,0.5000000000000001,True,18.41618557306176,PPO,42
0.25,0.5000000000000001,True,14.986553930646096,PPO,43
0.25,0.5000000000000001,True,10.102752395864764,PPO,44
0.25,0.5000000000000001,False,13.290825851723069,PPO,45
0.25,0.5000000000000001,True,11.261408822771099,PPO,46
0.25,0.5000000000000001,True,9.517126138916991,PPO,47
0.25,0.5000000000000001,True,16.75168689277623,PPO,48
0.25,0.5000000000000001,True,16.477287043851522,PPO,49
0.25,0.5500000000000002,True,11.400245050248188,PPO,0
0.25,0.5500000000000002,True,9.35786914784997,PPO,1
0.25,0.5500000000000002,False,8.472102647372173,PPO,2
0.25,0.5500000000000002,True,16.992650157655792,PPO,3
0.25,0.5500000000000002,False,13.608366530252537,PPO,4
0.25,0.5500000000000002,True,16.990447981338637,PPO,5
0.25,0.5500000000000002,True,5.996368745832221,PPO,6
0.25,0.5500000000000002,True,12.50820408875492,PPO,7
0.25,0.5500000000000002,True,12.690282492166595,PPO,8
0.25,0.5500000000000002,True,9.923816277217865,PPO,9
0.25,0.5500000000000002,False,17.52390918399836,PPO,10
0.25,0.5500000000000002,True,10.99939408059685,PPO,11
0.25,0.5500000000000002,True,8.31288347414056,PPO,12
0.25,0.5500000000000002,False,8.610463761268266,PPO,13
0.25,0.5500000000000002,True,13.689607104454831,PPO,14
0.25,0.5500000000000002,False,17.047635857454832,PPO,15
0.25,0.5500000000000002,True,12.098006479953948,PPO,16
0.25,0.5500000000000002,True,16.83228031980844,PPO,17
0.25,0.5500000000000002,True,12.598981589483488,PPO,18
0.25,0.5500000000000002,True,13.060458055991582,PPO,19
0.25,0.5500000000000002,True,5.902171906821616,PPO,20
0.25,0.5500000000000002,True,16.539013735657694,PPO,21
0.25,0.5500000000000002,True,11.928113662796711,PPO,22
0.25,0.5500000000000002,True,14.59342554553776,PPO,23
0.25,0.5500000000000002,True,13.564778584014007,PPO,24
0.25,0.5500000000000002,True,13.684238658674802,PPO,25
0.25,0.5500000000000002,True,13.5761825148877,PPO,26
0.25,0.5500000000000002,False,12.801501310700319,PPO,27
0.25,0.5500000000000002,True,10.844702244853567,PPO,28
0.25,0.5500000000000002,False,12.36743124387454,PPO,29
0.25,0.5500000000000002,True,7.457977061980092,PPO,30
0.25,0.5500000000000002,False,8.583871933955372,PPO,31
